pos_east,pos_north,to_shadow,height
65.8155,-122.26,True,0
65.8155,-129.819,True,0
73.3745,-114.701,True,0
73.3745,-122.26,True,0
73.3745,-129.819,True,0
73.3745,-137.378,True,0
73.3745,-144.937,True,0
80.9336,-114.701,True,0
80.9336,-122.26,True,0
80.9336,-129.819,True,0
80.9336,-137.378,True,0
80.9336,-144.937,True,0
80.9336,-152.496,True,0
80.9336,-160.055,True,0
88.4927,-114.701,True,0
88.4927,-122.26,True,0
88.4927,-129.819,True,0
88.4927,-137.378,True,0
88.4927,-144.937,True,0
88.4927,-152.496,True,0
88.4927,-160.055,True,0
88.4927,-167.614,True,0
96.0517,-107.142,True,0
96.0517,-114.701,True,0
96.0517,-122.26,True,0
96.0517,-129.819,True,0
96.0517,-137.378,True,0
96.0517,-144.937,True,0
96.0517,-152.496,True,0
96.0517,-160.055,True,0
96.0517,-167.614,True,0
96.0517,-175.173,True,0
96.0517,-182.732,True,0
103.611,-107.142,True,0
103.611,-114.701,True,0
103.611,-122.26,True,0
103.611,-129.819,True,0
103.611,-137.378,True,0
103.611,-144.937,True,0
103.611,-152.496,True,0
103.611,-160.055,True,0
103.611,-167.614,True,0
103.611,-175.173,True,0
103.611,-182.732,True,0
103.611,-190.291,True,0
111.17,-99.5826,True,0
111.17,-107.142,True,0
111.17,-114.701,True,0
111.17,-122.26,True,0
111.17,-129.819,True,0
111.17,-137.378,True,0
111.17,-144.937,True,0
111.17,-152.496,True,0
111.17,-160.055,True,0
111.17,-167.614,True,0
111.17,-175.173,True,0
111.17,-182.732,True,0
111.17,-190.291,True,0
111.17,-197.85,True,0
118.729,-99.5826,True,0
118.729,-107.142,True,0
118.729,-114.701,True,0
118.729,-122.26,True,0
118.729,-129.819,True,0
118.729,-137.378,True,0
118.729,-144.937,True,0
118.729,-152.496,True,0
118.729,-160.055,True,0
118.729,-167.614,True,0
118.729,-175.173,True,0
118.729,-182.732,True,0
118.729,-190.291,True,0
118.729,-197.85,True,0
118.729,-205.409,True,0
118.729,-212.968,True,0
126.288,-99.5826,True,0
126.288,-107.142,True,0
126.288,-114.701,True,0
126.288,-122.26,True,0
126.288,-129.819,True,0
126.288,-137.378,True,0
126.288,-144.937,True,0
126.288,-152.496,True,0
126.288,-160.055,True,0
126.288,-167.614,True,0
126.288,-175.173,True,0
126.288,-182.732,True,0
126.288,-190.291,True,0
126.288,-197.85,True,0
126.288,-205.409,True,0
126.288,-212.968,True,0
126.288,-220.527,True,0
126.288,-228.087,True,0
133.847,-92.0235,True,0
133.847,-99.5826,True,0
133.847,-107.142,True,0
133.847,-114.701,True,0
133.847,-122.26,True,0
133.847,-129.819,True,0
133.847,-137.378,True,0
133.847,-144.937,True,0
133.847,-152.496,True,0
133.847,-160.055,True,0
133.847,-167.614,True,0
133.847,-175.173,True,0
133.847,-182.732,True,0
133.847,-190.291,True,0
133.847,-197.85,True,0
133.847,-205.409,True,0
133.847,-212.968,True,0
133.847,-220.527,True,0
133.847,-228.087,True,0
133.847,-235.646,True,0
141.406,-92.0235,True,0
141.406,-99.5826,True,0
141.406,-107.142,True,0
141.406,-114.701,True,0
141.406,-122.26,True,0
141.406,-129.819,True,0
141.406,-137.378,True,0
141.406,-144.937,True,0
141.406,-152.496,True,0
141.406,-160.055,True,0
141.406,-167.614,True,0
141.406,-175.173,True,0
141.406,-182.732,True,0
141.406,-190.291,True,0
141.406,-197.85,True,0
141.406,-205.409,True,0
141.406,-212.968,True,0
141.406,-220.527,True,0
141.406,-228.087,True,0
141.406,-235.646,True,0
141.406,-243.205,True,0
148.965,-92.0235,True,0
148.965,-99.5826,True,0
148.965,-107.142,True,0
148.965,-114.701,True,0
148.965,-122.26,True,0
148.965,-129.819,True,0
148.965,-137.378,True,0
148.965,-144.937,True,0
148.965,-152.496,True,0
148.965,-160.055,True,0
148.965,-167.614,True,0
148.965,-175.173,True,0
148.965,-182.732,True,0
148.965,-190.291,True,0
148.965,-197.85,True,0
148.965,-205.409,True,0
148.965,-212.968,True,0
148.965,-220.527,True,0
148.965,-228.087,True,0
148.965,-235.646,True,0
148.965,-243.205,True,0
148.965,-250.764,True,0
148.965,-258.323,True,0
156.524,-84.4645,True,0
156.524,-92.0235,True,0
156.524,-99.5826,True,0
156.524,-107.142,True,0
156.524,-114.701,True,0
156.524,-122.26,True,0
156.524,-129.819,True,0
156.524,-137.378,True,0
156.524,-144.937,True,0
156.524,-152.496,True,0
156.524,-160.055,True,0
156.524,-167.614,True,0
156.524,-175.173,True,0
156.524,-182.732,True,0
156.524,-190.291,True,0
156.524,-197.85,True,0
156.524,-205.409,True,0
156.524,-212.968,True,0
156.524,-220.527,True,0
156.524,-228.087,True,0
156.524,-235.646,True,0
156.524,-243.205,True,0
156.524,-250.764,True,0
156.524,-258.323,True,0
156.524,-265.882,True,0
156.524,-273.441,True,0
164.083,-84.4645,True,0
164.083,-92.0235,True,0
164.083,-99.5826,True,0
164.083,-107.142,True,0
164.083,-114.701,True,0
164.083,-122.26,True,0
164.083,-129.819,True,0
164.083,-137.378,True,0
164.083,-144.937,True,0
164.083,-152.496,True,0
164.083,-160.055,True,0
164.083,-167.614,True,0
164.083,-175.173,True,0
164.083,-182.732,True,0
164.083,-190.291,True,0
164.083,-197.85,True,0
164.083,-205.409,True,0
164.083,-212.968,True,0
164.083,-220.527,True,0
164.083,-228.087,True,0
164.083,-235.646,True,0
164.083,-243.205,True,0
164.083,-250.764,True,0
164.083,-258.323,True,0
164.083,-265.882,True,0
164.083,-273.441,True,0
164.083,-281.0,True,0
171.642,-84.4645,True,0
171.642,-92.0235,True,0
171.642,-99.5826,True,0
171.642,-107.142,True,0
171.642,-114.701,True,0
171.642,-122.26,True,0
171.642,-129.819,True,0
171.642,-137.378,True,0
171.642,-144.937,True,0
171.642,-152.496,True,0
171.642,-160.055,True,0
171.642,-167.614,True,0
171.642,-175.173,True,0
171.642,-182.732,True,0
171.642,-190.291,True,0
171.642,-197.85,True,0
171.642,-205.409,True,0
171.642,-212.968,True,0
171.642,-220.527,True,0
171.642,-228.087,True,0
171.642,-235.646,True,0
171.642,-243.205,True,0
171.642,-250.764,True,0
171.642,-258.323,True,0
171.642,-265.882,True,0
171.642,-273.441,True,0
171.642,-281.0,True,0
171.642,-288.559,True,0
179.201,-76.9054,True,0
179.201,-84.4645,True,0
179.201,-92.0235,True,0
179.201,-99.5826,True,0
179.201,-107.142,True,0
179.201,-114.701,True,0
179.201,-122.26,True,0
179.201,-129.819,True,0
179.201,-137.378,True,0
179.201,-144.937,True,0
179.201,-152.496,True,0
179.201,-160.055,True,0
179.201,-167.614,True,0
179.201,-175.173,True,0
179.201,-182.732,True,0
179.201,-190.291,True,0
179.201,-197.85,True,0
179.201,-205.409,True,0
179.201,-212.968,True,0
179.201,-220.527,True,0
179.201,-228.087,True,0
179.201,-235.646,True,0
179.201,-243.205,True,0
179.201,-250.764,True,0
179.201,-258.323,True,0
179.201,-265.882,True,0
179.201,-273.441,True,0
179.201,-281.0,True,0
179.201,-288.559,True,0
179.201,-296.118,True,0
179.201,-303.677,True,0
186.76,-76.9054,True,0
186.76,-84.4645,True,0
186.76,-92.0235,True,0
186.76,-99.5826,True,0
186.76,-107.142,True,0
186.76,-114.701,True,0
186.76,-122.26,True,0
186.76,-129.819,True,0
186.76,-137.378,True,0
186.76,-144.937,True,0
186.76,-152.496,True,0
186.76,-160.055,True,0
186.76,-167.614,True,0
186.76,-175.173,True,0
186.76,-182.732,True,0
186.76,-190.291,True,0
186.76,-197.85,True,0
186.76,-205.409,True,0
186.76,-212.968,True,0
186.76,-220.527,True,0
186.76,-228.087,True,0
186.76,-235.646,True,0
186.76,-243.205,True,0
186.76,-250.764,True,0
186.76,-258.323,True,0
186.76,-265.882,True,0
186.76,-273.441,True,0
186.76,-281.0,True,0
186.76,-288.559,True,0
186.76,-296.118,True,0
186.76,-303.677,True,0
186.76,-311.236,True,0
194.319,-69.3464,True,0
194.319,-76.9054,True,0
194.319,-84.4645,True,0
194.319,-92.0235,True,0
194.319,-99.5826,True,0
194.319,-107.142,True,0
194.319,-114.701,True,0
194.319,-122.26,True,0
194.319,-129.819,True,0
194.319,-137.378,True,0
194.319,-144.937,True,0
194.319,-152.496,True,0
194.319,-160.055,True,0
194.319,-167.614,True,0
194.319,-175.173,True,0
194.319,-182.732,True,0
194.319,-190.291,True,0
194.319,-197.85,True,0
194.319,-205.409,True,0
194.319,-212.968,True,0
194.319,-220.527,True,0
194.319,-228.087,True,0
194.319,-235.646,True,0
194.319,-243.205,True,0
194.319,-250.764,True,0
194.319,-258.323,True,0
194.319,-265.882,True,0
194.319,-273.441,True,0
194.319,-281.0,True,0
194.319,-288.559,True,0
194.319,-296.118,True,0
194.319,-303.677,True,0
194.319,-311.236,True,0
194.319,-318.795,True,0
194.319,-326.354,True,0
201.878,-69.3464,True,0
201.878,-76.9054,True,0
201.878,-84.4645,True,0
201.878,-92.0235,True,0
201.878,-99.5826,True,0
201.878,-107.142,True,0
201.878,-114.701,True,0
201.878,-122.26,True,0
201.878,-129.819,True,0
201.878,-137.378,True,0
201.878,-144.937,True,0
201.878,-152.496,True,0
201.878,-160.055,True,0
201.878,-167.614,True,0
201.878,-175.173,True,0
201.878,-182.732,True,0
201.878,-190.291,True,0
201.878,-197.85,True,0
201.878,-205.409,True,0
201.878,-212.968,True,0
201.878,-220.527,True,0
201.878,-228.087,True,0
201.878,-235.646,True,0
201.878,-243.205,True,0
201.878,-250.764,True,0
201.878,-258.323,True,0
201.878,-265.882,True,0
201.878,-273.441,True,0
201.878,-281.0,True,0
201.878,-288.559,True,0
201.878,-296.118,True,0
201.878,-303.677,True,0
201.878,-311.236,True,0
201.878,-318.795,True,0
201.878,-326.354,True,0
201.878,-333.913,True,0
209.438,-61.7873,True,0
209.438,-69.3464,True,0
209.438,-76.9054,True,0
209.438,-84.4645,True,0
209.438,-92.0235,True,0
209.438,-99.5826,True,0
209.438,-107.142,True,0
209.438,-114.701,True,0
209.438,-122.26,True,0
209.438,-129.819,True,0
209.438,-137.378,True,0
209.438,-144.937,True,0
209.438,-152.496,True,0
209.438,-160.055,True,0
209.438,-167.614,True,0
209.438,-175.173,True,0
209.438,-182.732,True,0
209.438,-190.291,True,0
209.438,-197.85,True,0
209.438,-205.409,True,0
209.438,-212.968,True,0
209.438,-220.527,True,0
209.438,-228.087,True,0
209.438,-235.646,True,0
209.438,-243.205,True,0
209.438,-250.764,True,0
209.438,-258.323,True,0
209.438,-265.882,True,0
209.438,-273.441,True,0
209.438,-281.0,True,0
209.438,-288.559,True,0
209.438,-296.118,True,0
209.438,-303.677,True,0
209.438,-311.236,True,0
209.438,-318.795,True,0
209.438,-326.354,True,0
209.438,-333.913,True,0
209.438,-341.472,True,0
209.438,-349.031,True,0
216.997,-61.7873,True,0
216.997,-69.3464,True,0
216.997,-76.9054,True,0
216.997,-84.4645,True,0
216.997,-92.0235,True,0
216.997,-99.5826,True,0
216.997,-107.142,True,0
216.997,-114.701,True,0
216.997,-122.26,True,0
216.997,-129.819,True,0
216.997,-137.378,True,0
216.997,-144.937,True,0
216.997,-152.496,True,0
216.997,-160.055,True,0
216.997,-167.614,True,0
216.997,-175.173,True,0
216.997,-182.732,True,0
216.997,-190.291,True,0
216.997,-197.85,True,0
216.997,-205.409,True,0
216.997,-212.968,True,0
216.997,-220.527,True,0
216.997,-228.087,True,0
216.997,-235.646,True,0
216.997,-243.205,True,0
216.997,-250.764,True,0
216.997,-258.323,True,0
216.997,-265.882,True,0
216.997,-273.441,True,0
216.997,-281.0,True,0
216.997,-288.559,True,0
216.997,-296.118,True,0
216.997,-303.677,True,0
216.997,-311.236,True,0
216.997,-318.795,True,0
216.997,-326.354,True,0
216.997,-333.913,True,0
216.997,-341.472,True,0
216.997,-349.031,True,0
216.997,-356.59,True,0
216.997,-364.15,True,0
224.556,-61.7873,True,0
224.556,-69.3464,True,0
224.556,-76.9054,True,0
224.556,-84.4645,True,0
224.556,-92.0235,True,0
224.556,-99.5826,True,0
224.556,-107.142,True,0
224.556,-114.701,True,0
224.556,-122.26,True,0
224.556,-129.819,True,0
224.556,-137.378,True,0
224.556,-144.937,True,0
224.556,-152.496,True,0
224.556,-160.055,True,0
224.556,-167.614,True,0
224.556,-175.173,True,0
224.556,-182.732,True,0
224.556,-190.291,True,0
224.556,-197.85,True,0
224.556,-205.409,True,0
224.556,-212.968,True,0
224.556,-220.527,True,0
224.556,-228.087,True,0
224.556,-235.646,True,0
224.556,-243.205,True,0
224.556,-250.764,True,0
224.556,-258.323,True,0
224.556,-265.882,True,0
224.556,-273.441,True,0
224.556,-281.0,True,0
224.556,-288.559,True,0
224.556,-296.118,True,0
224.556,-303.677,True,0
224.556,-311.236,True,0
224.556,-318.795,True,0
224.556,-326.354,True,0
224.556,-333.913,True,0
224.556,-341.472,True,0
224.556,-349.031,True,0
224.556,-356.59,True,0
224.556,-364.15,True,0
224.556,-371.709,True,0
232.115,-54.2283,True,0
232.115,-61.7873,True,0
232.115,-69.3464,True,0
232.115,-76.9054,True,0
232.115,-84.4645,True,0
232.115,-92.0235,True,0
232.115,-99.5826,True,0
232.115,-107.142,True,0
232.115,-114.701,True,0
232.115,-122.26,True,0
232.115,-129.819,True,0
232.115,-137.378,True,0
232.115,-144.937,True,0
232.115,-152.496,True,0
232.115,-160.055,True,0
232.115,-167.614,True,0
232.115,-175.173,True,0
232.115,-182.732,True,0
232.115,-190.291,True,0
232.115,-197.85,True,0
232.115,-205.409,True,0
232.115,-212.968,True,0
232.115,-220.527,True,0
232.115,-228.087,True,0
232.115,-235.646,True,0
232.115,-243.205,True,0
232.115,-250.764,True,0
232.115,-258.323,True,0
232.115,-265.882,True,0
232.115,-273.441,True,0
232.115,-281.0,True,0
232.115,-288.559,True,0
232.115,-296.118,True,0
232.115,-303.677,True,0
232.115,-311.236,True,0
232.115,-318.795,True,0
232.115,-326.354,True,0
232.115,-333.913,True,0
232.115,-341.472,True,0
232.115,-349.031,True,0
232.115,-356.59,True,0
232.115,-364.15,True,0
232.115,-371.709,True,0
232.115,-379.268,True,0
239.674,-54.2283,True,0
239.674,-61.7873,True,0
239.674,-69.3464,True,0
239.674,-76.9054,True,0
239.674,-84.4645,True,0
239.674,-92.0235,True,0
239.674,-99.5826,True,0
239.674,-107.142,True,0
239.674,-114.701,True,0
239.674,-122.26,True,0
239.674,-129.819,True,0
239.674,-137.378,True,0
239.674,-144.937,True,0
239.674,-152.496,True,0
239.674,-160.055,True,0
239.674,-167.614,True,0
239.674,-175.173,True,0
239.674,-182.732,True,0
239.674,-190.291,True,0
239.674,-197.85,True,0
239.674,-205.409,True,0
239.674,-212.968,True,0
239.674,-220.527,True,0
239.674,-228.087,True,0
239.674,-235.646,True,0
239.674,-243.205,True,0
239.674,-250.764,True,0
239.674,-258.323,True,0
239.674,-265.882,True,0
239.674,-273.441,True,0
239.674,-281.0,True,0
239.674,-288.559,True,0
239.674,-296.118,True,0
239.674,-303.677,True,0
239.674,-311.236,True,0
239.674,-318.795,True,0
239.674,-326.354,True,0
239.674,-333.913,True,0
239.674,-341.472,True,0
239.674,-349.031,True,0
239.674,-356.59,True,0
239.674,-364.15,True,0
239.674,-371.709,True,0
239.674,-379.268,True,0
239.674,-386.827,True,0
